original_park,matched_park,similarity,final_match
shoelace park,peace park,0.864102564,bronx river parkway
shore park and parkway,shore park and parkway,1,shore park and parkway
shore parkway,hero park,0.86039886,shore park and parkway
shore road park,owl's head park,0.797222222,shore park and parkway
silver lake park,silver lake park,1,silver lake park
silverstein family park,silver lake park,0.829891304,na
siren slope,siren slope,1,siren slope
skyline playground,mckinley playground,0.897374154,cottages hill new brighton park
snug harbor cultural center,snug harbor cultural center,1,snug harbor cultural center
sobelsohn playground,glenwood playground,0.849451754,forest park
socrates sculpture park,socrates sculpture park,1,socrates sculpture park
sorrentino recreation center,sorrentino recreation center,1,sorrentino recreation center
soundview park,soundview park,1,soundview park
south beach,south beach wetlands,0.85,south beach wetlands
south beach wetlands,south beach wetlands,1,south beach wetlands
south oxford park,south oxford park,1,south oxford park
south pacific playground,south pacific playground,1,south pacific playground
south rochdale playground,south rochdale playground,1,south rochdale playground
south shore country club,south shore country club,1,south shore country club
southern fields athletic fields,southern fields,0.827956989,southern fields
southern stables,southern fields,0.822222222,na
southwest playground,mott playground,0.877777778,van cortlandt park
space time playground,space time playground,1,space time playground
spirit playground,spirit playground,1,spirit playground
spring creek park,spring creek park,1,spring creek park
spring creek park addition,spring creek park addition,1,spring creek park addition
springfield park,springfield park,1,springfield park
st. albans park,st. vartan park,0.866666667,archie spigner park
st. andrew's playground,st. andrew's playground,1,st. andrew's playground
st. catherine's park,st. catherine's park,1,st. catherine's park
st. james park,st. james park,1,st. james park
st. james recreation center,st. james triangle,0.764660494,st. james park
st. john's recreation center,st. john's park,0.751343101,st. john's park
st. mary's park,st. mary's park,1,st. mary's park
st. mary's recreation center,hansborough recreation center,0.777093596,st. mary's park
st. michael's playground,st. michael's playground,1,st. michael's playground
st. nicholas park,st. nicholas park,1,st. nicholas park
st. nicholas playground south,st. nicholas playground south,1,st. nicholas playground south
stanley isaacs playground,stanley isaacs playground,1,stanley isaacs playground
stapleton esplanade,stapleton esplanade,1,stapleton esplanade
stapleton playground,telephone playground,0.880392157,stapleton esplanade
starlight park,starlight park,1,starlight park
starlight park zone 1,starlight park,0.888888889,starlight park
starlight park-starlight park playground,starlight park,0.783333333,starlight park
stebbins playground,stebbins playground,1,stebbins playground
sternberg park,sternberg park,1,sternberg park
story playground,story playground,1,story playground
street tree,NA,NA,na
street tree in sunnyside,NA,NA,na
stroud playground,stroud playground,1,stroud playground
stuyvesant cove park,sunset cove park,0.808333333,na
stuyvesant square,stuyvesant square,1,stuyvesant square
sumner playground,sumner playground,1,sumner playground
sunners playground,sunners playground,1,sunners playground
sunrise playground,sunrise playground,1,sunrise playground
sunset cove,sunset cove park,0.895833333,sunset cove park
sunset park,sunset park,1,sunset park
sunshine playground,sunshine playground,1,sunshine playground
sutton place park,sutton place park,1,sutton place park
tappen park,tappen park,1,tappen park
taylor playground,taylor playground,1,taylor playground
ten eyck playground,ten eyck playground,1,ten eyck playground
the battery,the battery,1,the battery
the big park,the big park,1,the big park
the high line,the high line,1,the high line
theodore roosevelt park,theodore roosevelt park,1,theodore roosevelt park
thomas boyland park,thomas boyland park,1,thomas boyland park
thomas j. cuite park,thomas j. cuite park,1,thomas j. cuite park
thomas jefferson park,thomas jefferson park,1,thomas jefferson park
thomas jefferson recreation center,thomas jefferson park,0.803651285,thomas jefferson park
thorpe family playground,thorpe family playground,1,thorpe family playground
tompkins square park,tompkins square park,1,tompkins square park
tompkinsville park,tompkinsville park,1,tompkinsville park
torsney playground,torsney playground,1,torsney playground
tottenville pool,tottenville pool,1,tottenville pool
travers park,travers park,1,travers park
tremont park,claremont park,0.900793651,walter gladwin park
trinity park,trinity park,1,trinity park
tucker place,tucker place,1,tucker place
tudor park,tudor park,1,tudor park
udall's park preserve,udall's park preserve,1,udall's park preserve
umoja learning garden,umoja garden,0.801587302,umoja garden
underhill playground,gun hill playground,0.875696594,james forten playground
underwood park,underwood park,1,underwood park
union square park,union square park,1,union square park
university woods,university woods,1,university woods
utopia parkway and 77th road,NA,NA,utopia playground
valentine varian house,valentine varian house,1,valentine varian house
van cortlandt park,van cortlandt park,1,van cortlandt park
van dyke playground,van dyke playground,1,van dyke playground
van nest park,van nest park,1,van nest park
van voorhees park,van voorhees playground,0.878942882,van voorhees playground
vidalia park,vidalia park,1,vidalia park
von briesen park,von briesen park,1,von briesen park
wagner playground,wagner playground,1,wagner playground
walker park,walker park,1,walker park
walt whitman park,walt whitman park,1,walt whitman park
walter gladwin park,walter gladwin park,1,walter gladwin park
walton park,walton park,1,walton park
washingtom square park,washington square park,0.96969697,washington square park
washington market park,washington market park,1,washington market park
washington park,washington park,1,washington park
washington square park,washington square park,1,washington square park
watson gleason playground,watson gleason playground,1,watson gleason playground
weeping beech park,wegener park,0.781986532,margaret i. carman green - weeping beech
wegener park,wegener park,1,wegener park
west harlem piers,west harlem piers,1,west harlem piers
westbourne playground,westbourne playground,1,westbourne playground
westerleigh park,westerleigh park,1,westerleigh park
westwood park,westwood park,1,westwood park
wild bird fund,NA,NA,na
william mccray playground,william mccray playground,1,william mccray playground
william t davis wildlife refuge,NA,NA,freshkills park
william t. davis wildlife refuge,NA,NA,freshkills park
williamsbridge oval,williamsbridge oval,1,williamsbridge oval
williamsbridge oval recreation center,williamsbridge oval,0.837837838,williamsbridge oval
williamsbridge square,williamsbridge oval,0.868003342,williamsbridge oval
willow lake playground,willow lake playground,1,willow lake playground
willowbrook park,willowbrook park,1,willowbrook park
windmuller park,lindower park,0.87991453,lawrence virgilio playground
wnyc transmitter park,wnyc transmitter park,1,wnyc transmitter park
wolfe's pond park,wolfe's pond park,1,wolfe's pond park
wood park,wood park,1,wood park
woodlawn cemetery,NA,NA,silver lake park
woodrow wilson triangle,woodrow wilson triangle,1,woodrow wilson triangle
wright brothers playground,wright brothers playground,1,wright brothers playground
yellowstone park,yellowstone park,1,yellowstone park
young park,young park,1,young park
youth village,youth village,1,youth village
